flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.084857,0.000000,1.50,0.00
0.091571,0.000000,1.47,0.00
0.098286,0.000000,1.44,0.00
0.105000,0.000000,1.42,0.00
0.111714,0.000000,1.39,0.00
0.118429,0.000000,1.36,0.00
0.125143,0.000000,1.33,0.00
0.131857,0.000000,1.31,0.00
0.138429,0.000000,1.28,0.00
0.145143,0.000000,1.25,0.00
0.151714,0.000000,1.23,0.00
0.158286,0.000000,1.20,0.00
0.164857,0.000000,1.18,0.00
0.171429,0.000000,1.15,0.00
0.178000,0.000000,1.13,0.00
0.184571,0.000000,1.10,0.00
0.191000,0.000000,1.08,0.00
0.197429,0.000000,1.05,0.00
0.203857,0.000000,1.03,0.00
0.210286,0.000000,1.01,0.00
0.216571,0.000000,0.99,0.00
0.222857,0.000000,0.98,0.00
0.229143,0.000000,0.96,0.00
0.235429,0.000000,0.95,0.00
0.241571,0.000000,0.94,0.00
0.247857,0.000000,0.93,0.00
0.253857,0.000000,0.92,0.00
0.260000,0.000000,0.91,0.00
0.266000,0.000000,0.91,0.00
0.272000,0.000000,0.91,0.00
0.277857,0.000000,0.91,0.00
0.283714,0.000000,0.91,0.00
0.289571,0.000000,0.92,0.00
0.295286,0.000000,0.93,0.00
0.301000,0.000000,0.94,0.00
0.306714,0.000000,0.95,0.00
0.312286,0.000000,0.97,0.00
0.317857,0.000000,0.98,0.00
0.323286,0.000000,0.99,0.00
0.328714,0.000000,1.00,0.00
0.334143,0.000000,1.02,0.00
0.339429,0.000000,1.03,0.00
0.344571,0.000000,1.05,0.00
0.349714,0.000000,1.06,0.00
0.354857,0.000000,1.08,0.00
0.359857,0.000000,1.09,0.00
0.364857,0.000000,1.10,0.00
0.369714,0.000000,1.12,0.00
0.374429,0.000000,1.13,0.00
0.379143,0.000000,1.15,0.00
0.383857,0.000000,1.16,0.00
0.388429,0.000000,1.18,0.00
0.392857,0.000000,1.20,0.00
0.397286,0.000000,1.22,0.00
0.401714,0.000000,1.24,0.00
0.405857,0.000000,1.26,0.00
0.410000,0.000000,1.28,0.00
0.414143,0.000000,1.31,0.00
0.418143,0.000000,1.33,0.00
0.422000,0.000000,1.36,0.00
0.425857,0.000000,1.38,0.00
0.429571,0.000000,1.40,0.00
0.433286,0.000000,1.43,0.00
0.436857,0.000000,1.45,0.00
0.440286,0.000000,1.47,0.00
0.443714,0.000000,1.49,0.00
0.447000,0.000000,1.51,0.00
0.450143,0.000000,1.53,0.00
0.453286,0.000000,1.56,0.00
0.456286,0.000000,1.58,0.00
0.459143,0.000000,1.61,0.00
0.462000,0.000000,1.63,0.00
0.464714,0.000000,1.66,0.00
0.467429,0.000000,1.68,0.00
0.469857,0.000000,1.71,0.00
0.472286,0.000000,1.73,0.00
0.474714,0.000000,1.76,0.00
0.476857,0.000000,1.79,0.00
0.479000,0.000000,1.82,0.00
0.481000,0.000000,1.84,0.00
0.483000,0.000000,1.87,0.00
0.484857,0.000000,1.90,0.00
0.486571,0.000000,1.92,0.00
0.488143,0.000000,1.95,0.00
0.489714,0.000000,1.97,0.00
0.491143,0.000000,2.00,0.00
0.492429,0.000000,2.02,0.00
0.493571,0.000000,2.05,0.00
0.494714,0.000000,2.07,0.00
0.495714,0.000000,2.09,0.00
0.496571,0.000000,2.11,0.00
0.497429,0.000000,2.13,0.00
0.498143,0.000000,2.14,0.00
0.498714,0.000000,2.16,0.00
0.499143,0.000000,2.18,0.00
0.499571,0.000000,2.20,0.00
0.499857,0.000000,2.21,0.00
0.500000,0.000000,2.23,0.00
0.500000,0.000000,2.24,0.00
0.500000,0.000000,2.25,0.00
0.499857,0.000000,2.26,0.00
0.499571,0.000000,2.27,0.00
0.499143,0.000000,2.28,0.00
0.498714,0.000000,2.28,0.00
0.498143,0.000000,2.29,0.00
0.497429,0.000000,2.29,0.00
0.496571,0.000000,2.30,0.00
0.495714,0.000000,2.30,0.00
0.494714,0.000000,2.31,0.00
0.493571,0.000000,2.32,0.00
0.492429,0.000000,2.32,0.00
0.491143,0.000000,2.33,0.00
0.489714,0.000000,2.34,0.00
0.488143,0.000000,2.35,0.00
0.486571,0.000000,2.35,0.00
0.484857,0.000000,2.36,0.00
0.483000,0.000000,2.36,0.00
0.481000,0.000000,2.36,0.00
0.479000,0.000000,2.37,0.00
0.476857,0.000000,2.37,0.00
0.474714,0.000000,2.36,0.00
0.472286,0.000000,2.36,0.00
0.469857,0.000000,2.36,0.00
0.467429,0.000000,2.36,0.00
0.464714,0.000000,2.36,0.00
0.462000,0.000000,2.36,0.00
0.459143,0.000000,2.36,0.00
0.456286,0.000000,2.36,0.00
0.453286,0.000000,2.36,0.00
0.450143,0.000000,2.36,0.00
0.447000,0.000000,2.35,0.00
0.443714,0.000000,2.35,0.00
0.440286,0.000000,2.35,0.00
0.436857,0.000000,2.34,0.00
0.433286,0.000000,2.34,0.00
0.429571,0.000000,2.33,0.00
0.425857,0.000000,2.32,0.00
0.422000,0.000000,2.31,0.00
0.418143,0.000000,2.30,0.00
0.414143,0.000000,2.28,0.00
0.410000,0.000000,2.27,0.00
0.405857,0.000000,2.25,0.00
0.401714,0.000000,2.23,0.00
0.397286,0.000000,2.21,0.00
0.392857,0.000000,2.19,0.00
0.388429,0.000000,2.16,0.00
0.383857,0.000000,2.13,0.00
0.379143,0.000000,2.10,0.00
0.374429,0.000000,2.07,0.00
0.369714,0.000000,2.04,0.00
0.364857,0.000000,2.00,0.00
0.359857,0.000000,1.97,0.00
0.354857,0.000000,1.94,0.00
0.349714,0.000000,1.90,0.00
0.344571,0.000000,1.86,0.00
0.339429,0.000000,1.83,0.00
0.334143,0.000000,1.79,0.00
0.328714,0.000000,1.75,0.00
0.323286,0.000000,1.72,0.00
0.317857,0.000000,1.68,0.00
0.312286,0.000000,1.64,0.00
0.306714,0.000000,1.61,0.00
0.301000,0.000000,1.57,0.00
0.295286,0.000000,1.53,0.00
0.289571,0.000000,1.49,0.00
0.283714,0.000000,1.45,0.00
0.277857,0.000000,1.40,0.00
0.272000,0.000000,1.36,0.00
0.266000,0.000000,1.32,0.00
0.260000,0.000000,1.27,0.00
0.253857,0.000000,1.23,0.00
0.247857,0.000000,1.18,0.00
0.241571,0.000000,1.14,0.00
0.235429,0.000000,1.09,0.00
0.229143,0.000000,1.05,0.00
0.222857,0.000000,1.01,0.00
0.216571,0.000000,0.96,0.00
0.210286,0.000000,0.92,0.00
0.203857,0.000000,0.88,0.00
0.197429,0.000000,0.84,0.00
0.191000,0.000000,0.80,0.00
0.184571,0.000000,0.76,0.00
0.178000,0.000000,0.72,0.00
0.171429,0.000000,0.68,0.00
0.164857,0.000000,0.64,0.00
0.158286,0.000000,0.61,0.00
0.151714,0.000000,0.57,0.00
0.145143,0.000000,0.54,0.00
0.138429,0.000000,0.52,0.00
0.131857,0.000000,0.49,0.00
0.125143,0.000000,0.48,0.00
0.118429,0.000000,0.46,0.00
0.111714,0.000000,0.45,0.00
0.105000,0.000000,0.44,0.00
0.098286,0.000000,0.44,0.00
0.091571,0.000000,0.43,0.00
0.084857,0.000000,0.43,0.00
0.078143,0.000000,0.42,0.00
0.071429,0.000000,0.42,0.00
0.000000,0.000000,0.41,0.00
0.000000,0.000000,0.40,0.00
0.000000,0.000000,0.40,0.00
