flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.084857,0,0,0
0.091571,0,0,0
0.098286,0,0,0
0.105,0,0,0
0.111714,0,0,0
0.118429,0,0,0
0.125143,0,0,0
0.131857,0,0,0
0.138429,0,0,0
0.145143,0,0,0
0.151714,0,0,0
0.158286,0,0,0
0.164857,0,0,0
0.171429,0,0,0
0.178,0,0,0
0.184571,0,0,0
0.191,0,0,0
0.197429,0,0,0
0.203857,0,0,0
0.210286,0,0,0
0.216571,0,0,0
0.222857,0,0,0
0.229143,0,0,0
0.235429,0,0,0
0.241571,0,0,0
0.247857,0,0,0
0.253857,0,0,0
0.26,0,0,0
0.266,0,0,0
0.272,0,0,0
0.277857,0,0,0
0.283714,0,0,0
0.289571,0,0,0
0.295286,0,0,0
0.301,0,0,0
0.306714,0,0,0
0.312286,0,0,0
0.317857,0,0,0
0.323286,0,0,0
0.328714,0,0,0
0.334143,0,0,0
0.339429,0,0,0
0.344571,0,0,0
0.349714,0,0,0
0.354857,0,0,0
0.359857,0,0,0
0.364857,0,0,0
0.369714,0,0,0
0.374429,0,0,0
0.379143,0,0,0
0.383857,0,0,0
0.388429,0,0,0
0.392857,0,0,0
0.397286,0,0,0
0.401714,0,0,0
0.405857,0,0,0
0.41,0,0,0
0.414143,0,0,0
0.418143,0,0,0
0.422,0,0,0
0.425857,0,0,0
0.429571,0,0,0
0.433286,0,0,0
0.436857,0,0,0
0.440286,0,0,0
0.443714,0,0,0
0.447,0,0,0
0.450143,0,0,0
0.453286,0,0,0
0.456286,0,0,0
0.459143,0,0,0
0.462,0,0,0
0.464714,0,0,0
0.467429,0,0,0
0.469857,0,0,0
0.472286,0,0,0
0.474714,0,0,0
0.476857,0,0,0
0.479,0,0,0
0.481,0,0,0
0.483,0,0,0
0.484857,0,0,0
0.486571,0,0,0
0.488143,0,0,0
0.489714,0,0,0
0.491143,0,0,0
0.492429,0,0,0
0.493571,0,0,0
0.494714,0,0,0
0.495714,0,0,0
0.496571,0,0,0
0.497429,0,0,0
0.498143,0,0,0
0.498714,0,0,0
0.499143,0,0,0
0.499571,0,0,0
0.499857,0,0,0
0.5,0,0,0
0.5,0,0,0
0.5,0,0,0
